ID_Perusahaan,ID_Tender,Spread_SPD_Scaled,Relative_Diff_RD_Scaled,Geographic_Diff_Scaled
22,43,0.040678643,0.27690616,0.6986581
810,86,0.018626587,0.4751481,0.11375029
853,160,0.7492345,0.99783576,0.76651525
862,59,0.475385,0.35807487,0.38320386
394,137,0.9979637,0.1876507,0.67546016
817,178,0.8208276,0.7098424,0.2729168
477,27,0.5493271,0.803348,0.9604316
627,145,0.7144913,0.23548453,0.6103836
743,124,0.5843616,0.48026615,0.43839145
602,115,0.24472749,0.7473875,0.58654404
995,80,0.7147881,0.040802203,0.13586095
947,22,0.18071087,0.55870134,0.66150814
870,56,0.3801279,0.039199717,0.12028414
715,118,0.042319138,0.3128657,0.51504153
647,99,0.091389984,0.32718796,0.78641903
915,163,0.008629896,0.7217344,0.7557201
46,189,0.04267106,0.45357826,0.3053531
92,38,0.05029328,0.5905773,0.679751
816,145,0.7763311,0.27271497,0.7845255
213,50,0.7769228,0.36551672,0.27097267
750,79,0.85737985,0.0087173395,0.29676044
496,43,0.32369742,0.92466974,0.44955596
300,164,0.02936067,0.91113883,0.9491958
972,197,0.90660673,0.62512994,0.8145804
201,68,0.055863384,0.8256263,0.28658232
215,79,0.4398377,0.15913862,0.087756865
14,178,0.18496181,0.29831743,0.77298605
449,192,0.010330113,0.23134224,0.5118679
145,37,0.45803225,0.074665725,0.5883769
737,138,0.679377,0.091227,0.27183008
150,102,0.042267013,0.56153804,0.046825442
361,137,0.13151415,0.30886698,0.87696075
901,148,0.85001296,0.7799617,0.30866498
155,153,0.2523953,0.44058776,0.41381112
970,147,0.6525359,0.20042318,0.17255725
703,33,0.9745532,0.91020674,0.74588346
463,61,0.43610448,0.38373032,0.93718624
959,158,0.06780795,0.20847978,0.1025448
890,136,0.05746324,0.22592303,0.3471404
399,68,0.098143056,0.6626698,0.49499103
272,179,0.7609841,0.13560191,0.7231112
872,67,0.26644662,0.5664756,0.33705276
53,118,0.06217173,0.5455068,0.63111216
30,49,0.89234334,0.7898198,0.49739125
749,133,0.7262975,0.7403069,0.30134213
